id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
10,12.00,D4C4_0,5.10,0.00,2.00,109.00,D1E1_0,85.60,13.92,97.00,565.20,39.00,1,0.00,56.45,0,tripinfo_10 emissions_10 fcd_10,DEFAULT_VEHTYPE,1.09,,10601.872470,339780.909810,56.256174,7.203029,147.095549,108376.511797,0
25,25.00,B4B3_0,5.10,0.00,0.00,110.00,B1A1_0,85.60,11.26,85.00,375.13,42.00,1,0.00,53.56,0,tripinfo_25 emissions_25 fcd_25,DEFAULT_VEHTYPE,0.87,,9459.725435,245398.632444,48.811842,5.096354,105.694913,78273.603364,0
58,58.00,B2C2_0,5.10,0.00,0.00,110.00,D0E0_0,89.60,13.33,52.00,478.92,4.00,1,0.00,16.65,0,tripinfo_58 emissions_58 fcd_58,DEFAULT_VEHTYPE,1.02,,3426.305869,181817.413075,19.746330,3.301720,74.611813,57991.703335,0
46,46.00,D3E3_0,5.10,0.00,0.00,112.00,C0D0_0,85.60,12.88,66.00,661.58,0.00,0,0.00,16.03,0,tripinfo_46 emissions_46 fcd_46,DEFAULT_VEHTYPE,1.00,,3499.125613,217680.512604,20.885321,3.795330,88.451927,69430.230586,0
76,76.00,C1C0_0,5.10,0.00,0.00,113.00,C2D2_0,85.60,14.08,37.00,365.40,0.00,0,0.00,10.22,0,tripinfo_76 emissions_76 fcd_76,DEFAULT_VEHTYPE,1.03,,2549.965729,152584.781985,15.116289,2.794050,63.029150,48667.533166,0
32,32.00,E0D0_0,5.10,0.00,0.00,115.00,D3D4_0,85.60,12.90,83.00,479.13,29.00,1,0.00,47.85,0,tripinfo_32 emissions_32 fcd_32,DEFAULT_VEHTYPE,1.01,,8289.441450,262514.593150,43.765903,5.314833,111.953560,83731.984124,0
41,41.00,C4B4_0,5.10,0.00,0.00,119.00,E1E2_0,85.60,12.25,78.00,757.22,0.00,0,0.00,18.10,0,tripinfo_41 emissions_41 fcd_41,DEFAULT_VEHTYPE,0.96,,4104.337951,250155.662502,24.473101,4.506357,103.026999,79788.201640,0
75,75.00,E4E3_0,5.10,0.00,0.00,119.00,D1C1_0,85.60,13.03,44.00,479.13,0.00,0,0.00,8.13,0,tripinfo_75 emissions_75 fcd_75,DEFAULT_VEHTYPE,0.98,,2312.965256,157008.776981,14.075704,2.717955,63.565200,50078.583356,0
19,19.00,E1D1_0,5.10,0.00,0.00,120.00,C4B4_0,85.60,14.27,101.00,574.92,41.00,1,0.00,63.97,0,tripinfo_19 emissions_19 fcd_19,DEFAULT_VEHTYPE,1.16,,11084.744204,340069.294379,58.319560,7.178845,146.662961,108468.822103,0
8,8.00,B1B0_0,5.10,0.00,0.00,121.00,C4C3_0,85.60,12.81,113.00,660.03,37.00,1,0.00,59.24,0,tripinfo_8 emissions_8 fcd_8,DEFAULT_VEHTYPE,0.94,,10838.868419,347322.662211,57.487273,7.056065,148.681216,110782.361003,0
63,64.00,A0B0_0,5.10,0.00,1.00,122.00,E2E3_0,85.60,12.47,58.00,685.84,0.00,0,0.00,7.35,0,tripinfo_63 emissions_63 fcd_63,DEFAULT_VEHTYPE,0.99,,2039.649862,161822.498145,12.842690,2.547607,63.151265,51614.052117,0
79,79.00,B1B2_0,5.10,0.00,0.00,122.00,B1B0_0,85.60,14.49,43.00,270.77,7.00,2,0.00,23.85,0,tripinfo_79 emissions_79 fcd_79,DEFAULT_VEHTYPE,1.09,,4052.944197,145323.447451,21.853153,2.950072,62.083206,46352.199430,0
