time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
13.00,1,HBEFA3/PC_G_EU4,1877.82,15.37,0.11,0.59,0.01,598.96,0.00,61.44,!1,DEFAULT_VEHTYPE,0.00,B1B0_0,15.18,9.90,180.00,98.40,77.62
13.00,10,HBEFA3/PC_G_EU4,3651.27,148.86,0.76,1.63,0.08,1164.62,0.00,66.52,!10,DEFAULT_VEHTYPE,0.00,D4C4_0,7.31,2.21,270.00,285.49,401.60
13.00,11,HBEFA3/PC_G_EU4,5235.60,144.36,0.78,2.31,0.11,1669.93,0.00,68.72,!11,DEFAULT_VEHTYPE,0.00,B3C3_0,12.07,4.72,90.00,119.27,298.40
13.00,12,HBEFA3/PC_G_EU4,3432.54,147.84,0.75,1.53,0.08,1094.86,0.00,65.47,!12,DEFAULT_VEHTYPE,0.00,E3E2_0,7.09,1.99,180.00,398.40,285.71
13.00,13,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!13,DEFAULT_VEHTYPE,0.00,A2B2_0,5.10,0.00,90.00,12.30,198.40
13.00,2,HBEFA3/PC_G_EU4,3776.29,104.24,0.56,1.60,0.07,1204.49,0.00,63.29,!2,DEFAULT_VEHTYPE,0.00,:E2_6_0,4.85,5.47,110.41,397.17,196.72
13.00,3,HBEFA3/PC_G_EU4,5141.85,101.71,0.58,2.18,0.10,1640.02,0.00,65.90,!3,DEFAULT_VEHTYPE,0.00,:E2_10_0,5.15,8.02,317.20,397.59,200.49
13.00,4,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.79,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,81.44,7.64,90.00,288.64,-1.60
13.00,5,HBEFA3/PC_G_EU4,2908.89,23.75,0.17,1.04,0.03,927.81,0.00,63.47,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,65.15,11.36,180.00,98.40,27.65
13.00,6,HBEFA3/PC_G_EU4,11651.39,183.62,1.12,5.09,0.25,3716.21,0.00,73.25,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,60.92,14.24,180.00,-1.60,31.88
13.00,7,HBEFA3/PC_G_EU4,1671.12,0.00,0.02,0.45,0.00,533.03,0.00,62.45,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,51.68,11.52,270.00,241.12,101.60
13.00,8,HBEFA3/PC_G_EU4,6096.36,99.95,0.60,2.57,0.12,1944.45,0.00,67.18,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,38.14,10.14,180.00,98.40,54.66
13.00,9,HBEFA3/PC_G_EU4,6673.62,135.49,0.78,2.90,0.14,2128.57,0.00,69.11,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,24.02,7.82,270.00,268.78,401.60
14.00,0,HBEFA3/PC_G_EU4,7910.25,129.40,0.78,3.40,0.16,2522.98,0.00,69.63,!0,DEFAULT_VEHTYPE,0.00,E0E1_0,27.86,11.04,0.00,401.60,31.06
14.00,1,HBEFA3/PC_G_EU4,6514.22,97.92,0.60,2.74,0.12,2077.72,0.00,67.68,!1,DEFAULT_VEHTYPE,0.00,B1B0_0,26.54,11.37,180.00,98.40,66.26
14.00,10,HBEFA3/PC_G_EU4,3778.74,127.83,0.67,1.65,0.08,1205.27,0.00,64.31,!10,DEFAULT_VEHTYPE,0.00,D4C4_0,11.08,3.77,270.00,281.72,401.60
14.00,11,HBEFA3/PC_G_EU4,4236.21,106.19,0.58,1.80,0.08,1351.18,0.00,64.40,!11,DEFAULT_VEHTYPE,0.00,B3C3_0,18.13,6.06,90.00,125.33,298.40
14.00,12,HBEFA3/PC_G_EU4,4094.10,133.29,0.70,1.79,0.09,1305.86,0.00,65.61,!12,DEFAULT_VEHTYPE,0.00,E3E2_0,10.93,3.84,180.00,398.40,281.87
14.00,13,HBEFA3/PC_G_EU4,3677.58,149.01,0.76,1.64,0.08,1173.02,0.00,66.64,!13,DEFAULT_VEHTYPE,0.00,A2B2_0,7.34,2.24,90.00,14.54,198.40
14.00,14,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!14,DEFAULT_VEHTYPE,0.00,E0D0_0,5.10,0.00,270.00,391.70,1.60
14.00,2,HBEFA3/PC_G_EU4,1959.79,68.70,0.36,0.75,0.02,625.12,0.00,58.00,!2,DEFAULT_VEHTYPE,0.00,E2E1_0,1.15,5.33,167.51,398.40,191.65
14.00,3,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.06,!3,DEFAULT_VEHTYPE,0.00,E2D2_0,2.46,7.44,274.13,390.34,201.60
